Motion
""
THBT education is a federal matter
"TH, as an Asian American, would not support the suit against Harvard University."
THBT European Leaders should not have agreed to renegotiate the terms of Britain's EU membership.
THBT India should discourage arranged marriages
THW remove tax-exempt status from religious institutions.
"This house believes that juries, not judges, should be entirely responsible for sentencing decisions."
"THW, as the CDU, pursue a minority government in the Bundestag"
This house supports the use of “eye in the sky” policing in urban areas with high crime rates.
"Assuming it is technologically possible, this house would require individuals in liberal democracies to reveal their actual identity when communicating on the interne"
"There exists a drug that increases empathy in individuals. TH, as the state, would lace their country's water supply with that drug."
THW only allow pornography produced and directed by Women
This House Would Establish Brothels on Military Bases
THW allow victims to significantly reduce the sentence of their wrongdoers.
THW criminalize women that drink alcohol during pregnancy
"It is 5 July 1914. THW, as the German Reich, issue the Austrian-Hungarian empire a “blank check” on how to deal with the conflict with Serbia"
THW criminalize gang membership.
THR the institutions of marriage and civil partnership
THW allocate votes inversely proportional to wealth (where everyone gets at least one vote)
"THBT Facebook, Google, and Yahoo should take active steps to prevent the formation of ""filter bubbles"""
THBT the use of violence to advance the cause of disenfranchised sexual minorities and women in Russia is legitimate
"issues that are classically seen as part of the political domain are increasingly decided on by courts through legislation. Examples include, but are not limited to: the Dutch state successfully being sued to take stronger measures against climate change (Urgenda) and forcing political parties to allow women as candidates (SGP), the British Supreme Court deciding whether the Lower House should have a vote on Brexit and Trumps measures being increasingly challenged in courts. Motion: THR the judicialisation of politics"
"Assuming adequate security vetting, this House would allow individual states to set their own immigration policies."
THW allow parents of children with Klüver-Bucy syndrome to sterilise those children
"THS the existence of a ""social credit system"" (For the purposes of the debate, a ""social credit system"" refers to a system which assigns a rating to every citizen based on government data regarding their economic history (e.g. paying taxes, paying debts) and social behavior. Ratings impact one's ability to carry out economic transactions, such as seeking employment, renting or buying property.)"
"This house believes that international sporting events, such as the Olympics or Football World Cup, should not be held in countries with poor human rights records."
TH supports the targeted/deliberate killing of Iranian scientists
TH calls for a culture flat tax
"In situations where it's not possible to achieve both aims and the decision lies with the doctor, THBT doctors should prioritize prolonging life over the quality of that life"
THW allow central banks to use quantitative easing for the purpose of government investment as opposed to the support of the financial services.
THW allow assisted suicide for terminally ill children with the consent of their parents.
THW provide the disabled access to sex workers as part of national health care
"THBT sport's governing bodies, such as IOC and FIFA, should allow performance enhancing pharmaceuticals"
THW Require the Military to Recruit Soldiers in Direct Proportion to the Socio-Economic Make-up of the Country
THW fund hymen reconstruction.
THBT intelligence agencies should be allowed to monitor all people without their consen
THBT Russia should immediately withdraw all support from the Assad regime
You are the British government. You have full guarantee that SAS (special air service) can enter the prison which currently holds the Pussy Riot Girls in Russia and you can remove them safely. THW enter Russia and remove the Pussy Riot Girls from their cells.
TH Supports the proliferation of free schools
"Oskar Gröning chose to join the SS during the 1940s, and was positioned at Auschwitz concentration camp as a financial clerk. After the end of the war, he remained silent about his experiences for forty years. In response to Holocaust denial by a number of authoritative and well-known individuals, he spoke about his experiences and actions, highlighting the horrors that occurred. This contributed to a decision of the German government to prosecute him as an accessory to murder in 300,000 cases. THBT Oskar Gröning should not have been prosecuted."
The U.S. should declare a cyber war against Russia.
"THS countries withdrawing from the International Criminal Court in order to create their own regional replacements (e.g. an African Criminal Court, an InterAmerican Criminal Court)."
THW dissolve global human rights institutions in favor of regional human rights institutions
TH believes that the USA should never use the language of American exceptionalism.
THBT that the UN Security Council should sanction companies that buy 'booty futures' from rebel movements
THW abolish all occupational licensing.
THBT The Palestinians Should Accept Complete Demilitarisation in Immediate Return for A Sovereign State
THW appoint the parliament by lottery
THW force men and women to take equal maternity and paternity leave
THBT physical appearance is a fundamental criterion for good leadership
TH regrets that Lance Armstrong got caugh
THW ban religious proselytization in prisons.
THBT the citizens of countries under military occupation of a western liberal democracy should be granted the right to vote in the elections of that occupying state!
"THW ban Martijn, a paedophile association (vereniging)"
This House would allow the use of torture.
THBT The British Government should publish the communications in their entirety
THW ban equality movements focusing on one group only
THBT social media is ruining democracy.
THW never subject international treaties to popular referenda
THBT newly industrialized countries should not host international sporting events
THW Elect its Judges Democratically
THW prosecute the perpetrators of domestic violence without the victim's consen
This house would force all companies worth over $1 billion to list publicly
"This house believes members of SAARC should collectively agree to increase labour standards, and environmental standards, rather than engage in a 'race to the bottom'."
THBT the African Union should refuse to cooperate with the ICC and instead pursue their own means of justice.
THW make college admissions a randomized lottery
This house believes that the Trump administration should abandon the One-China policy
THW allow sex offenders to choose to undergo castration in return for a considerably shorter sentence
THB France should be more German
THW introduce a 100% inheritance tax
"As an atheist, THW proselytise"
"TH would ban all non-medical research into the genetics of race (For example, the effect of race on intelligence, morality, etc.)"
TH regrets the rise of consumerism
"THB the State Should Impose a Maximum Income of €50000, inc benefits, commissions, bonuses, etc."
"This House prefers a ""Brave New World"" to the status quo in Western Liberal Democracies."
THB trade unions should stop all campaigning and policy work against offshoring
THW allow legislatures to override constitutional bills of rights.
THBT publicly funded universities should be required to reduce enrolment in degree programs within their university that have statistically poor employment outcomes (same as EFL_Quarters)
THBT the EU should approve member countries budget deficit sides
THW allow countries to pay other countries to settle refugees who reach their borders
THW ban memory erasing technology (Eternal Sunshine of the Spotless Mind)
THS a lower income tax for women than men.
THW measure gross national happiness and base policy decisions on those measurements.
THW put a cap on the salaries of top athletes
"TH supports scientists who fabricate evidence exaggerating the certainty of man-made climate change, where there is a low likelihood to be caught."
THW give all animals capable of respecting all citizen obligations equal rights to humans
THW Never hold major sporting events in countries with ongoing human rights violations
THBT governments should take public steps to disrupt and discredit the use of cryptocurrencies (e.g. Bitcoin)
THBT a state's primary obligation is towards its own citizens
TH regrets the creation of the Eurozone.
"Assuming feasibility, THW sacrifice the rich."
THBT Truth and Reconciliation Commissions should destroy all collected testimony upon publication of the commissions' reports.
THW ban the gender testing of athletes in sports.
This House would ban people whose net worth is in more than the 90th percentile from running for office
"In the case where human space exploration efforts locate an inhabitable planet, THBT the settlers of that planet should construct a society without private property"
"Should we create a common sanctuary/reservation for hipsters, zombies, former FDP politicians and stranded aliens?"
This House believes that the state should curb assortative mating* (*the phenomenon of people primarily entering relationships and building families with those of similar social and economic characteristics)
This house believes that Western democratic countries should unilaterally evacuate relics of historical or cultural importance located in unstable countries and take possession of them.
"This House, as a feminist, would adopt traditionally masculine traits and behaviours"
THW practice investment over austerity in times of economic crisis
"The Conservative Party is the main centre-right party in the UK. The Conservative Party is wildly unpopular in Scotland with just one seat in Westminster Parliament, despite winning many seats in England. Polls of Scottish voters see them expressing economic and social views generally in line with the majority of UK voters. It has been proposed that the Conservative Party in Scotland split with UK Conservative Party. The new party would have an independent policy platform. Motion: In the event of a 'no' vote in the independence referendum, THBT the Scottish Conservative Party should split from the UK Conservative Party"
"This house, as Iran, would cease all support for military groups in the Middle East (e.g. Hezbollah, Hamas, Houthis, etc.)."
THW grant tax cuts to large foreign investors.
This House would deny scarce medical resources to terminally ill patients.
"It is the beginning of 1961. THW, as the USA, seek a mutual neutrality pact with Cuba."
